Simbolo,Nome,NumeroAtomico,Linha,Coluna,EstadoFisico
Br, Bromo, 35, 4, 17, Líquido
Ba, Bário, 56, 6, 2, Sólido
Cs, Césio, 55, 6, 1, Sólido
He, Hélio, 2, 1, 18, Gás
H, Hidrogenio, 1, 1, 1, Gás
Rf, Rutherfórdio, 104, 7, 4, Desconhecido
Nb, Nióbio, 41, 5, 5, Sólido
Ti, Tálio, 81, 6, 13, Sólido
Og, Oganesson, 118, 7, 18, Desconhecido
Hg, Mercúrio, 80, 6, 12, Líquido
Cl, Cloro, 17, 3, 17, Gás
Au, Ouro, 79, 6, 11, Sólido
P, Fósforo, 15, 3, 15, Sólido
Pb, Chumbo, 82, 6, 14, Sólido
In, Índio, 49, 5, 13, Sólido





